"","Leg Place","Elapsed Time","Team Name","Team #","Racer Name","Gender","Category","Div Place"
"23",23,"1:59:57","ThorAppliances.com",14,"Neil Bransfield / Gene Hogan","/","Competitive Open",11
"24",24,"2:00:15","Washington State Patrol Iron Bears",530,"David Hintz / Dan Turner","/","Corporate",2
"25",25,"2:00:25","Well Hung Jury",253,"Greg Fosty / Mike Baker","/","Recreational Open",1
"26",26,"2:00:34","Mt. Baker Ski Area Mixed",154,"Amy Trowbridge / Mike Trowbridge","/","Whatcom County Mixed",1
"27",27,"2:00:43","@tdcurran",473,"John Dutton / Dan Ferguson","/","Masters",3
"28",28,"2:01:08","RunningShoes.com JV",163,"Bob McBeath / Ann Thistle","/","Whatcom County Mixed",2
"29",29,"2:01:12","Sweat and the City",52,"Matt Bautista / Drew Oaksford","/","Competitive Open",12
"30",30,"2:01:19","Cordata Dental",71,"Matt Shepherd / Andy Shepherd","/","Competitive Open",13
"31",31,"2:01:22","Kicked in the Nooksack",123,"Matt Treat / Eric Paige","/","Whatcom County Open",4
"32",32,"2:02:27","Noble Sports Chiropractic",65,"David Oreiro / Tyson Oreiro","/","Competitive Open",14
"33",33,"2:02:31","4 Western Football Valkyries",49,"Erika Yaremko / Marisa Morabito","/","Competitive Women",3
"34",34,"2:02:53","SSC You Call, We Haul",61,"Adrienne Scott / Lori Velisek","/","Competitive Mixed",1
"35",35,"2:03:40","Acht du Lieber!",516,"Jesse Allen / Mylo Allen","/","Family",1
"36",36,"2:03:58","Fitness Gear and Training",141,"Julie Whitacre / Morgan Brunstrom","/","Whatcom County Open",5
"37",37,"2:04:05","Good News Good Guys",182,"Mickey Bevens / Jody Nace","/","Whatcom County Open",6
"38",38,"2:04:27","Infectious Habititus - Habitat for Humanity",269,"Hans Wolfisberg / Albert Siebring","/","Recreational Open",2
"39",39,"2:04:57","Unorthodocs",229,"Jason Stoane / Joel Hoekema","/","Recreational Open",3
"40",40,"2:05:22","Gardner Mountain Goats",495,"John Rohrer / Scott Fitkin","/","Veterans",4
"41",41,"2:05:31","Exxel Pacifc",563,"Matt Stodola / Geoff Stodola","/","Corporate",3
"42",42,"2:05:32","Nitropaced",131,"Keith Vandergriend / Fred Wiley","/","Whatcom County Open",7
