"","Leg Place","Elapsed Time","Team Name","Racer Name","Gender","Category","Div Place"
"327",327,"0:52:57","Race by Grace Immanuel Lutheran Church","Andy Snow","","Recreational Open",105
"328",328,"0:52:58","Rugadoo","Shelby Englund","","Family",14
"329",329,"0:53:00","The Spitting Llamas","Hannah Norberg","","Recreational Open",106
"330",330,"0:53:11","Pass The Hat","Andy Lahmann","","Corporate",23
"331",331,"0:53:13","Katie's Cupcakes","Dacia Grayber","","Recreational Women",10
"332",332,"0:53:19","on your left","Mindy Collins","","Recreational Women",11
"333",332,"0:53:19","Moreno Dental","Teresa Wittmann","","Recreational Open",107
"334",334,"0:53:20","Teach by day, race by Knight","Krista Gordon","","Recreational Mixed",42
"335",335,"0:53:21","ForestEthics","Joe Scott","","Recreational Open",108
"336",335,"0:53:21","Crusty Crew","Tadd Foote","","Recreational Open",108
"337",337,"0:53:26","ET and the Thriller Zombies","Gretchen Glaub","","Recreational Open",110
"338",338,"0:53:41","Proof is in the Puddin'","Jennifer Hampton","","Recreational Open",111
"339",339,"0:53:45","W.D.F.A.","Peter Mallahan","","Recreational Open",112
"340",339,"0:53:45","ago","Elizabeth Baker","","Recreational Mixed",43
"341",341,"0:53:56","BPD and Andy","Pete Moe","","Recreational Open",113
"342",342,"0:53:57","RN's saving lives with burning thighs","Lisa Johnson","","Recreational Women",12
"343",343,"0:53:58","Jetsam","Kathy Reitinger","","Recreational Open",114
"344",344,"0:53:59","Ski to Sea Yogis","Jasmine Greene","","Recreational Open",115
"345",345,"0:54:00","Pleiades Nebulosity","Francis Pirotte","","Recreational Open",116
"346",345,"0:54:00","Itek Energy","Rachel Severson","","Corporate",24
"347",347,"0:54:17","Gang Green","Chris McDonell","","Corporate",25
"348",348,"0:54:25","Bupid Puppies","Sarah Muszynski","","Recreational Open",117
"349",349,"0:54:39","Burning Bunions","Ken Gross","","Recreational Open",118
"350",350,"0:54:40","Sappers Lead the Way","Jason Feasby","","Recreational Open",119
"351",351,"0:54:41","None","Mildred Charlson / Krista Heidar","/","Family",15
"352",352,"0:54:43","Ocho Pinkos","Steve Rydman","","Recreational Open",120
"353",353,"0:54:44","Sturgeon Surgeons","Kim Voros","","Recreational Open",121
"354",354,"0:54:45","Kevin LaFleur Memorial Team JV","Joel Hollander","","Recreational Open",122
"355",355,"0:54:54","Sehome UPS Store-mers","Kenny Wallace","","Recreational Mixed",44
"356",356,"0:54:56","Revenge of the Earth Nerds","Kat Morgan","","Recreational Mixed",45
"357",357,"0:55:02","BEAST MODE","Justin Hoffman","","Recreational Open",123
"358",357,"0:55:02","Northern Brewery","Amber Iverson","","Competitive Open",62
"359",359,"0:55:09","Extreme Fitness","Matt McBeath","","Whatcom County Open",23
"360",360,"0:55:15","Radical Rinkle Racers","Ky Elliott","","Recreational Open",124
"361",361,"0:55:20","Lubricators","Kevin Anderson","","Corporate",26
"362",362,"0:55:29","US Bank","Carey Nunn","","Corporate",27
"363",363,"0:55:35","The safe word is ""WHiskey""","Ryan McKinney","","Competitive Open",63
"364",364,"0:55:38","Team Next Adventure","Wrenna Keller","","Corporate",28
"365",365,"0:55:48","Team Glory","Mark Rutledge","","Whatcom County Open",24
"366",366,"0:55:56","Man, Are We Gettin' Old","Jeff Grebe","","Competitive Open",64
"367",366,"0:55:56","Murray's Fury","Thomas Roberts","","Recreational Open",125
"368",368,"0:56:08","Uncharismatic Megafauna","Julie Barber","","Recreational Open",126
"369",369,"0:56:09","TAKE IT TO THE LIMIT (LIMIT)","Sarah Webb","","Recreational Women",13
"370",370,"0:56:10","Fire Breathing Rubber Duckies","Kerry Hunter","","Recreational Open",127
"371",371,"0:56:17","Dunga","Katie Schmitz","","Recreational Mixed",46
"372",372,"0:56:23","Flotsam","Jennifer Hine","","Recreational Open",128
"373",373,"0:56:38","Willing and Able","Kelly French","","Recreational Mixed",47
"374",374,"0:56:42","Marky Mark and 7 Older Guys","Eric Sherman","","High School",6
"375",375,"0:56:53","WHS Wily Wolves","Eddi Vulic","","Whatcom County Open",25
"376",376,"0:56:59","Kalen's Creative Team Name","Jason Johnson","","Recreational Mixed",48
"377",377,"0:57:02","Rudys Up & Up","Natalie Sahli","","Recreational Open",129
"378",378,"0:57:03","The Nerd Herd","Nhan Nguyen","","Recreational Mixed",49
"379",379,"0:57:05","The Refined Products","James Dowrey","","Corporate",29
"380",380,"0:57:15","Sea Diving Skull Krackers","Brian Young","","Recreational Open",130
"381",381,"0:57:21","Happy Campers","Amelia Seagrave","","Recreational Mixed",50
"382",382,"0:57:26","Trogdor Strikes Again","Kyle Davis","","Recreational Open",131
"383",383,"0:57:27","We are Family","Thereasa Dougan","","Family",16
"384",384,"0:57:28","Natalie Portland","Anthony Copple","","Recreational Open",132
"385",385,"0:57:54","The Barelies","jill caldwell","","Recreational Mixed",51
"386",386,"0:57:55","Cargill","Alicia Stoeckl","","Recreational Open",133
"387",387,"0:58:04","West Mortgage LLC - Troubled Assets","Justin Bajema","","Recreational Open",134
"388",388,"0:58:06","Pioneer Meadows Montessori Pink Towers of Power","Therese Landry","","Recreational Women",14
"389",389,"0:58:13","Semiahmoo Sunrunners 1","Brenda Lightfoot","","Recreational Mixed",52
"390",390,"0:58:21","Criminally Insane","Megan Castellano","","Recreational Women",15
"391",391,"0:58:29","Heath Tecna 2","Wayne Carmichael","","Corporate",30
"392",392,"0:58:37","Man Eaters","Natalia Mucha","","Competitive Women",5
"393",393,"0:58:43","The S5 Swirlers","Evangelynn Homegger","","Recreational Women",16
"394",394,"0:58:47","Team Progressive","Marisa Afzali","","Corporate",31
"395",395,"0:58:53","Miner Threat","Clint Price","","Recreational Open",135
"396",396,"0:59:07","Couch Creepers","Jackie-Lou Brock","","Recreational Open",136
"397",397,"0:59:23","Slow Motion to the Ocean","Courtney Kuhl","","Recreational Mixed",53
"398",398,"0:59:37","Venus Envy","Monika Lange","","Recreational Women",17
"399",399,"0:59:40","Mambo Italiano Mamas","Karen Saupe","","Whatcom County Women",6
"400",400,"0:59:41","THOR","Meesha Hedeen","","Recreational Open",137
"401",401,"0:59:51","The Bucket List","Chris Erdmann","","Veterans",13
"402",402,"1:00:06","Ahhh just go faster!","Kim Spaulding","","Recreational Mixed",54
