"","player","level","gender","division","team_name","Turns","Ds","Assists","Points","plus_minus","team_games","turns_per_game","ds_per_game","ast_per_game","pts_per_game","pls_mns_per_game"
"164","Edi Lam","Division 1","Women","Division 1 Women","Tufts EWO",3,1,10,4,12,5,0.6,0.2,2,0.8,2.4
"165","Cice Kim","Division 1","Women","Division 1 Women","Colorado State Helle's Belles",7,3,3,13,12,5,1.4,0.6,0.6,2.6,2.4
"166","Adam Wright","Division 3","Men","Division 3 Men","Oberlin Flying Horsecows",5,7,4,6,12,6,0.833333333333333,1.16666666666667,0.666666666666667,1,2
"167","Zoe Posner","Division 3","Women","Division 3 Women","Colorado College Zenith",2,6,4,3,11,6,0.333333333333333,1,0.666666666666667,0.5,1.83333333333333
"168","Thomas Preston","Division 3","Men","Division 3 Men","Oklahoma Christian Eagles",3,1,7,6,11,5,0.6,0.2,1.4,1.2,2.2
"169","Seth Fried","Division 1","Men","Division 1 Men","North Carolina Darkside",0,0,2,9,11,6,0,0,0.333333333333333,1.5,1.83333333333333
"170","Seamus Robinson","Division 1","Men","Division 1 Men","Cal Poly-SLO Slocore",10,3,6,12,11,7,1.42857142857143,0.428571428571429,0.857142857142857,1.71428571428571,1.57142857142857
"171","Ryanne Barrett","Division 1","Women","Division 1 Women","Tufts EWO",5,0,11,5,11,5,1,0,2.2,1,2.2
"172","Reece Overholt","Division 3","Men","Division 3 Men","Williams WUFO",1,1,2,9,11,6,0.166666666666667,0.166666666666667,0.333333333333333,1.5,1.83333333333333
"173","Presten Berg","Division 3","Women","Division 3 Women","Lewis & Clark Artemis",6,6,5,6,11,5,1.2,1.2,1,1.2,2.2
"174","Nicole lambert","Division 1","Women","Division 1 Women","Stanford Superfly",4,7,0,8,11,7,0.571428571428571,1,0,1.14285714285714,1.57142857142857
"175","Max Fleming","Division 3","Men","Division 3 Men","Whitman Sweets",7,2,6,10,11,6,1.16666666666667,0.333333333333333,1,1.66666666666667,1.83333333333333
"176","Macy Hudson","Division 1","Women","Division 1 Women","North Carolina Pleiades",8,3,9,7,11,7,1.14285714285714,0.428571428571429,1.28571428571429,1,1.57142857142857
